,SYSTEM,CATG_MGT_PNL,ACCT_CATG,CUST_NAME,ACCT_NAME,ACCT_NO,CONT_NO,LINE_NO,GN,CN,BUSI_CODE,CONTRACT_ADDR1,CONTRACT_ADDR2,CONTRACT_ADDR3,CONTRACT_ADDR4,BUILDING_ID,INST_ADDR_FLAT,INST_ADDR_FLOR,ADDRESS,INST_ADD1,INST_ADD2,INST_ADD3,INST_ADD4
2154262,ONOP,BDEL,IC,FORTRESS,FORTRESS A DIVISION OF A.S WATSON GROUP (HK) LTD,11887825,4,25299613,GN00412,CN00000171,VOICE,6/F,WATSON HOUSE,1 - 5 WO LIU HANG ROAD,FO TAN SHATIN,00020203,FLAT 5,G,HOPEWELL CTR 183 KENNEDY RD WAN CHAI HK,FLAT 5 G/F,HOPEWELL CTR,183 QUEEN'S RD E,WAN CHAI HK
2154710,ONOP,BDEL,IC,FORTRESS,FORTRESS A DIVISION OF A.S WATSON GROUP (HK) LTD,11887825,5,27539549,GN00412,CN00000171,VOICE,6/F,WATSON HOUSE,1 - 5 WO LIU HANG ROAD,FO TAN SHATIN,00090390,FLAT 55,1,AMOY PLAZA 77 NGAU TAU KOK RD NGAU TAU KOK KLN,FLAT 55 1/F,AMOY PLAZA PH 1,,NGAU TAU KOK KLN
2168226,ONOP,BDEL,IC,FORTRESS,FORTRESS,10470748,1,21231140,GN00412,CN00000171,VOICE,.,WATSON HSE,1-5 WO LIU HANG RD,SHA TIN NT,00090486,SHOP NO.232-237,2,+WOO KINGSWOOD VILLAS TIN SHUI WAI NT,SHOP NO.232-237 2/F,KINGSWOOD GINZA SHOP ARCADE PH 1,KINGSWOOD VILLAS,TIN SHUI WAI NT
2168850,ONOP,BDEL,IC,FORTRESS,FORTRESS,11887825,14,36902193,GN00412,CN00000171,VOICE,.,WATSON HSE,1-5 WO LIU HANG RD,SHA TIN NT,00020539,,G,SHOPPING MALL METROPOLE BLDG NORTH POINT HK,G/F,SHOPPING MALL,METROPOLE BLDG,NORTH POINT HK
2172494,ONOP,BDEL,IC,FORTRESS,FORTRESS,11887825,6,31522143,GN00412,CN00000171,VOICE,.,WATSON HSE,1-5 WO LIU HANG RD,SHA TIN NT,00013498,,UG,METRO CITY PLAZA 2 METRO CITY PLZ TSEUNG KWAN O NT,UG/F,METRO CITY SHOPPING ARCADE PH 2,METRO CITY,TSEUNG KWAN O KLN
2183783,ONOP,BDEL,IC,FORTRESS,FORTRESS-A DIVISION OF AS WATSON GROUP (HK) LTD,452311,1,25555117,GN00412,CN00000171,VOICE,(HK) LTD,"1/F, CAVENDISH CENTRE",23 YIP HING ST,WONG CHUK HANG,00019853,,1,CAVENDISH CTR 23 YIP HING ST WONG CHUK HANG HK,1/F,CAVENDISH CTR,23 YIP HING ST,WONG CHUK HANG HK
2186230,ONOP,,IC,FORTRESS,FORTRESS,171,1,81221942,GN00412,CN00000171,VOICE,FLAT 513-516 5/F,HUTCHISON LOGISTICS CENTRE,18 CONTAINER PORT RD S,KWAI CHUNG NT,,,,,,,,
2190785,ONOP,BDEL,IC,FORTRESS,"FORTRESS, A DIVISION OF A.S. WATSON GROUP (HK) LTD",452394,2,31628753,GN00412,CN00000171,VOICE,6/F,WATSON HOUSE,1 - 5 WO LIU HANG ROAD,FO TAN SHATIN,00019382,,3,CAPITOL CTR 5-19 JARDINE'S BAZAAR CAUSEWAY BAY HK,3/F,CAPITOL CTR,5-19 JARDINE'S BAZAAR,CAUSEWAY BAY HK
2194682,ONOP,BDEL,IC,FORTRESS,FORTRESS,11887825,14,36902190,GN00412,CN00000171,VOICE,.,WATSON HSE,1-5 WO LIU HANG RD,SHA TIN NT,00020539,,G,SHOPPING MALL METROPOLE BLDG NORTH POINT HK,G/F,SHOPPING MALL,METROPOLE BLDG,NORTH POINT HK
2207992,ONOP,BDEL,IC,FORTRESS,FORTRESS A DIVISION OF A.S WATSON GROUP (HK) LTD,11887825,4,28663138,GN00412,CN00000171,VOICE,6/F,WATSON HOUSE,1 - 5 WO LIU HANG ROAD,FO TAN SHATIN,00020203,FLAT 5,G,HOPEWELL CTR 183 KENNEDY RD WAN CHAI HK,FLAT 5 G/F,HOPEWELL CTR,183 QUEEN'S RD E,WAN CHAI HK
2209294,ONOP,BDEL,IC,FORTRESS,"FORTRESS, A DIVISION OF A.S. WATSON GROUP",452394,17,35200537,GN00412,CN00000171,VOICE,"6/F,","WATSON HOUSE,",1-5 WO LIU HANG RD,FOTAN,52703101,SHOP 146-49&161,1,YUEN LONG PLZ 249-251 CASTLE PEAK RD - YL YUEN LONG NT,SHOP 146-49&161 1/F,YUEN LONG PLAZA,249-251 CASTLE PEAK RD - YL,YUEN LONG NT
2209959,ONOP,BDEL,IC,FORTRESS,"FORTRESS, A DIVISION OF A.S. WATSON GROUP (HK) LTD",452394,8,35273001,GN00412,CN00000171,VOICE,6/F,WATSON HOUSE,1 - 5 WO LIU HANG ROAD,FO TAN SHATIN,00004293,,G,DEMOLISHED_MOHAN'S BLDG 14-16 HANKOW RD TSIM SHA TSUI KLN,G/F,MOHAN'S BLDG,14-16 HANKOW RD,TSIM SHA TSUI KLN
2211252,ONOP,BDEL,IC,FORTRESS,FORTRESS,10470748,1,21229360,GN00412,CN00000171,VOICE,.,WATSON HSE,1-5 WO LIU HANG RD,SHA TIN NT,00090486,SHOP 221-222,2,+WOO KINGSWOOD VILLAS TIN SHUI WAI NT,SHOP 221-222 2/F,KINGSWOOD GINZA SHOP ARCADE PH 1,KINGSWOOD VILLAS,TIN SHUI WAI NT
2214406,ONOP,BDEL,IC,FORTRESS,FORTRESS A DIVISION OF A.S WATSON GROUP (HK) LTD,11887825,2,25165259,GN00412,CN00000171,VOICE,1/F,CAVENDISH CTR,23 YIP HING ST,"WONG CHUK HANG,HK",00008112,FLAT E,LG,TAI PING MARKET PH  1046-1056  QUARRY BAY HK,FLAT E LG/F,YICK CHEONG BLDG,1046 KING'S RD,QUARRY BAY HK
2214414,ONOP,BDEL,IC,FORTRESS,FORTRESS-A DIVISION OF AS WATSON GROUP (HK) LTD,452311,1,25555711,GN00412,CN00000171,VOICE,(HK) LTD,"1/F, CAVENDISH CENTRE",23 YIP HING ST,WONG CHUK HANG,00019853,,,CAVENDISH CTR 23 YIP HING ST WONG CHUK HANG HK,(HK) LTD,"1/F, CAVENDISH CENTRE",23 YIP HING ST,WONG CHUK HANG
2215553,ONOP,BDEL,IC,FORTRESS,FORTRESS,11887825,14,36902192,GN00412,CN00000171,VOICE,.,WATSON HSE,1-5 WO LIU HANG RD,SHA TIN NT,00020539,,G,SHOPPING MALL METROPOLE BLDG NORTH POINT HK,G/F,SHOPPING MALL,METROPOLE BLDG,NORTH POINT HK
2217678,ONOP,BDEL,IC,FORTRESS,FORTRESS,452394,20,39043555,GN00412,CN00000171,VOICE,.,WATSON HSE,1-5 WO LIU HANG RD,SHA TIN NT,21211201,FLAT G3,G,ALBION PLAZA 2-6 GRANVILLE RD TSIM SHA TSUI KLN,FLAT G3 G/F,ALBION PLAZA,2-6 GRANVILLE RD,TSIM SHA TSUI KLN
2240190,ONOP,BDEL,IC,FORTRESS,FORTRESS A DIVISION OF A.S WATSON GROUP (HK) LTD,11887825,4,25200623,GN00412,CN00000171,VOICE,6/F,WATSON HOUSE,1 - 5 WO LIU HANG ROAD,FO TAN SHATIN,00020203,FLAT 5,G,HOPEWELL CTR 183 KENNEDY RD WAN CHAI HK,FLAT 5 G/F,HOPEWELL CTR,183 QUEEN'S RD E,WAN CHAI HK
2245540,ONOP,BDEL,IC,FORTRESS,FORTRESS,11887825,6,31522728,GN00412,CN00000171,VOICE,.,WATSON HSE,1-5 WO LIU HANG RD,SHA TIN NT,00013498,SHOP UG011-012,UG,METRO CITY PLAZA 2 METRO CITY PLZ TSEUNG KWAN O NT,SHOP UG011-012 UG/F,METRO CITY SHOPPING ARCADE PH 2,METRO CITY,TSEUNG KWAN O KLN
2246496,ONOP,BDEL,IC,FORTRESS,FORTRESS A DIVISION OF A.S WATSON GROUP (HK) LTD,11887825,9,35280154,GN00412,CN00000171,VOICE,6/F,WATSON HSE,1-5 WO LIU HANG RD,SHATIN NT,00100765,SHOP B4,G,LAI YUEN BLDG 59 RUSSELL ST CAUSEWAY BAY HK,SHOP B4 G/F,LAI YUEN BLDG,59 RUSSELL ST,CAUSEWAY BAY HK
2250138,ONOP,BDEL,IC,FORTRESS,FORTRESS A DIVISION OF A.S WATSON GROUP (HK) LTD,11887825,1,21897244,GN00412,CN00000171,VOICE,6/F,WATSON HOUSE,1 - 5 WO LIU HANG ROAD,FO TAN SHATIN,00003164,SHOP S32-38,2,KORNHILL PLAZA N KORNHILL QUARRY BAY HK,SHOP S32-38 2/F,KORNHILL PLAZA N,1 KORNHILL RD,QUARRY BAY HK
2250249,ONOP,BDEL,IC,FORTRESS,FORTRESS-A DIVISION OF AS WATSON GROUP (HK) LTD,452311,1,25555705,GN00412,CN00000171,VOICE,(HK) LTD,"1/F, CAVENDISH CENTRE",23 YIP HING ST,WONG CHUK HANG,00019853,,,CAVENDISH CTR 23 YIP HING ST WONG CHUK HANG HK,(HK) LTD,"1/F, CAVENDISH CENTRE",23 YIP HING ST,WONG CHUK HANG
2251266,ONOP,BDEL,IC,FORTRESS,FORTRESS-A DIVISION OF AS WATSON GROUP (HK) LTD,452311,1,25555714,GN00412,CN00000171,VOICE,(HK) LTD,"1/F, CAVENDISH CENTRE",23 YIP HING ST,WONG CHUK HANG,00019853,,,CAVENDISH CTR 23 YIP HING ST WONG CHUK HANG HK,(HK) LTD,"1/F, CAVENDISH CENTRE",23 YIP HING ST,WONG CHUK HANG
2279675,ONOP,BDEL,IC,FORTRESS,FORTRESS,452394,9,25522581,GN00412,CN00000171,VOICE,.,WATSON HSE,1-5 WO LIU HANG RD,SHA TIN NT,00012077,SHOP 27,G,MEI KWONG CRT ABERDEEN CTR ABERDEEN HK,SHOP 27 G/F BLOCK P,MEI KWONG CRT 11 NAM NING ST,ABERDEEN CTR,ABERDEEN HK
2280415,ONOP,BDEL,IC,FORTRESS,FORTRESS A DIVISION OF A.S WATSON GROUP (HK) LTD,11887825,7,25625301,GN00412,CN00000171,VOICE,6/F,WATSON HOUSE,1 - 5 WO LIU HANG ROAD,FO TAN SHATIN,00100010,FLAT 16-17,B,HOMEWORLD PROVIDENT CTR NORTH POINT HK,FLAT 16-17 B/F,SHOPPING ARC PROVIDENT CTR,WHARF RD,NORTH POINT HK
